actual,predicted,underperf_pct,likely_cause,recommendation
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,No clear cause,Monitor performance for persistent dips.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,Efficiency degradation,Check inverter and panel output for degradation.
0.0,1.8118746282282763e-18,1.0,No clear cause,Monitor performance for persistent dips.
